team,slug,group,confederation,fifa_rank,elo,attack_avg,defense_avg,host,form,injury_impact,squad_depth,avg_age,wc_experience,set_piece_off,set_piece_def,pressure_rating,coach_rating,fatigue
Netherlands,netherlands,F,UEFA,7,2010,1.8,1.0,0,0.60,0.05,8,27.0,11,8,7,7,8,0.30
Japan,japan,F,AFC,18,1860,1.5,1.0,0,0.70,0.15,7,27.0,8,6,7,7,8,0.25
Sweden,sweden,F,UEFA,38,1790,1.5,1.1,0,0.50,0.00,6,28.0,12,7,7,6,7,0.20
Tunisia,tunisia,F,CAF,44,1700,1.2,1.3,0,0.20,0.00,4,26.5,7,5,6,5,6,0.15
Belgium,belgium,G,UEFA,9,1940,1.7,1.1,0,0.25,0.15,7,30.0,14,7,7,6,7,0.30
Egypt,egypt,G,CAF,39,1780,1.5,0.8,0,0.50,0.00,5,27.5,3,7,6,6,7,0.15
Iran,iran,G,AFC,21,1810,1.2,1.1,0,0.40,0.00,5,28.0,6,5,6,6,7,0.20
New Zealand,new-zealand,G,OFC,85,1500,0.9,1.6,0,0.20,0.00,2,28.0,2,4,5,4,5,0.10
Spain,spain,H,UEFA,2,2140,2.1,0.7,0,0.90,0.05,10,25.5,16,8,8,9,8,0.30
Cape Verde,cape-verde,H,CAF,69,1620,1.1,1.5,0,0.50,0.00,3,28.0,1,5,5,5,6,0.15
Saudi Arabia,saudi-arabia,H,AFC,61,1640,1.1,1.4,0,0.20,0.00,3,27.5,6,4,5,5,6,0.10
Uruguay,uruguay,H,CONMEBOL,17,1900,1.5,1.1,0,0.60,0.05,7,27.0,14,6,7,8,9,0.20
France,france,I,UEFA,3,2080,2.0,0.9,0,0.65,0.10,10,26.5,16,9,8,9,9,0.30
Senegal,senegal,I,CAF,14,1870,1.4,1.1,0,0.50,0.10,6,28.0,4,7,6,7,7,0.20
Iraq,iraq,I,AFC,57,1630,1.1,1.4,0,0.40,0.00,3,27.0,1,5,5,5,6,0.15
Norway,norway,I,UEFA,31,1800,1.6,1.1,0,0.60,0.00,7,26.5,3,8,6,6,8,0.25
Argentina,argentina,J,CONMEBOL,1,2150,2.2,0.7,0,0.70,0.05,9,27.5,18,8,8,10,9,0.20
Austria,austria,J,UEFA,24,1800,1.5,1.1,0,0.40,0.00,5,27.0,7,6,6,6,7,0.25
Jordan,jordan,J,AFC,90,1530,1.0,1.5,0,0.30,0.00,3,27.5,0,4,5,5,6,0.15
Algeria,algeria,J,CAF,28,1780,1.4,1.2,0,0.40,0.05,5,27.0,4,6,6,6,7,0.20
Portugal,portugal,K,UEFA,5,2030,2.1,0.8,0,0.60,0.00,8,30.5,9,7,7,6,8,0.30
DR Congo,dr-congo,K,CAF,56,1620,1.2,1.3,0,0.40,0.00,4,27.0,2,5,5,5,6,0.15
Uzbekistan,uzbekistan,K,AFC,68,1580,1.1,1.2,0,0.40,0.00,4,26.5,0,5,5,5,6,0.15
Colombia,colombia,K,CONMEBOL,13,1950,1.8,0.9,0,0.80,0.00,7,26.0,7,7,7,7,8,0.20
England,england,L,UEFA,4,2040,1.8,0.8,0,0.40,0.10,9,25.8,16,8,7,5,8,0.35
Croatia,croatia,L,UEFA,11,1900,1.5,1.1,0,0.35,0.10,6,32.0,7,7,6,9,7,0.20
Ghana,ghana,L,CAF,48,1710,1.3,1.4,0,0.20,0.05,4,27.0,4,5,5,5,6,0.15
Panama,panama,L,CONCACAF,41,1660,0.9,1.5,0,0.30,0.00,3,28.5,2,5,5,5,6,0.15
